"hfpxzc href","qBF1Pd","W4Efsd","Cw1rxd","R8c4Qb"
"https://www.google.com/maps/place/Kertajaya+Masjid+B/data=!4m7!3m6!1s0x2dd7fbce495f5b59:0xe3334c9d34f3310a!8m2!3d-7.27788!4d112.75432!16s%2Fg%2F11vckf25ls!19sChIJWVtfSc771y0RCjHzNJ1MM-M?authuser=0&hl=id&rclk=1","Kertajaya Masjid B","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Gubeng+Kertajaya+A/data=!4m7!3m6!1s0x2dd7fbce958a7ae7:0x27b59cdf13e0a75!8m2!3d-7.28007!4d112.7557!16s%2Fg%2F11ybtp8rqn!19sChIJ53qKlc771y0RdQo-8c1ZewI?authuser=0&hl=id&rclk=1","Gubeng Kertajaya A","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Ruko+Gubeng+B/data=!4m7!3m6!1s0x2dd7fbd9d6383bef:0xd4a0e14fb350d59b!8m2!3d-7.26943!4d112.75088!16s%2Fg%2F11v58k4b_1!19sChIJ7zs41tn71y0Rm9VQs0_hoNQ?authuser=0&hl=id&rclk=1","Ruko Gubeng B","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Bank+BTPN+Kertajaya+B/data=!4m7!3m6!1s0x2dd7fbcfec19ed65:0x3dfe6007341e235d!8m2!3d-7.27747!4d112.75201!16s%2Fg%2F11vckf3gsz!19sChIJZe0Z7M_71y0RXSMeNAdg_j0?authuser=0&hl=id&rclk=1","Bank BTPN Kertajaya B","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Politeknik+Kesehatan+B/data=!4m7!3m6!1s0x2dd7fbd56ed3faef:0x2bc051518880d29a!8m2!3d-7.26676!4d112.761!16s%2Fg%2F11wqwyrjzv!19sChIJ7_rTbtX71y0RmtKAiFFRwCs?authuser=0&hl=id&rclk=1","Politeknik Kesehatan B","Perhentian bus","","Rute"
"https://www.google.com/maps/place/RSUD+Dr+Soetomo/data=!4m7!3m6!1s0x2dd7fbd684a764cb:0x19c8f3339190bd47!8m2!3d-7.26928!4d112.75655!16s%2Fg%2F11vbdsq1mv!19sChIJy2SnhNb71y0RR72QkTPzyBk?authuser=0&hl=id&rclk=1","RSUD Dr Soetomo","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Manyar+Sabrangan/data=!4m7!3m6!1s0x2dd7fbcca5f5a505:0x24b743557b36c4bc!8m2!3d-7.28061!4d112.76213!16s%2Fg%2F11l1bq_5tt!19sChIJBaX1pcz71y0RvMQ2e1VDtyQ?authuser=0&hl=id&rclk=1","Manyar Sabrangan","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Samsat+Manyar/data=!4m7!3m6!1s0x2dd7fa333f2a8e95:0xd3da75f6e7faeb5c!8m2!3d-7.27948!4d112.76401!16s%2Fg%2F11vdq6x0_5!19sChIJlY4qPzP61y0RXOv65_Z12tM?authuser=0&hl=id&rclk=1","Samsat Manyar","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Sumatera+B/data=!4m7!3m6!1s0x2dd7fbd7fbc6acfd:0x79ea5c0c7822ef47!8m2!3d-7.26687!4d112.75141!16s%2Fg%2F11vckf7gmz!19sChIJ_azG-9f71y0RR-8ieAxc6nk?authuser=0&hl=id&rclk=1","Sumatera B","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Kalidami+A/data=!4m7!3m6!1s0x2dd7fbd2c9a8d4d5:0x79ac8d44bc85b073!8m2!3d-7.27455!4d112.76236!16s%2Fg%2F11wnd32zxq!19sChIJ1dSoydL71y0Rc7CFvESNrHk?authuser=0&hl=id&rclk=1","Kalidami A","Perhentian bus","","Rute"
