"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","W4Efsd 6","M4A5Cf"
"https://www.google.com/maps/place/Warteg+Bude%26Pade/data=!4m7!3m6!1s0x2e68e7929a2f02c5:0x9e2c6787ef0612ac!8m2!3d-6.9022222!4d107.6078318!16s%2Fg%2F11pc0w8yt6!19sChIJxQIvmpLnaC4RrBIG74dnLJ4?authuser=0&hl=id&rclk=1","Warteg Bude&Pade","5,0","(3)","","","Brunch","·","","","","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFytBfbptk1R78vpD7PuZ2w5FDl-Gt7v4J1nIKFHQUhv1iiAwZM3De_FY4xTYEuG09yNu_KBYKL6d7bGwegVb3-29m6d_uka0tRSq6IVlLnkRjON1MwDhfPyroI2QlNTjqvIuIcxg=w80-h133-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Jgn Lupa kaLo main ke Bandung sempatkan maMpir ke","Warteg","Legendaris 👍👍""","· 21.00 · Buka Sen pukul 05.30",""
"https://www.google.com/maps/place/Warteg+Tegal+Abadi+Murni+-+Sadang+Serang/data=!4m7!3m6!1s0x2e68e7b28cf33a51:0x421b3d890d9f763e!8m2!3d-6.8978677!4d107.6239613!16s%2Fg%2F11c7t44_kt!19sChIJUTrzjLLnaC4RPnafDYk9G0I?authuser=0&hl=id&rclk=1","Warteg Tegal Abadi Murni - Sadang Serang","4,5","(120)","·","Rp 1–25.000","Tegal","·","","4J2F+VH4, Jl. Gagak","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHUmbgvyKX4kTZfB2F5rCi7nYivHR2K-dlURAXR9kF1enxy2cBa6Xd5zE8fG8_OOJusG-A4mquagNok4Kj4_adWrXuxGrEJdib6Ft7sieZfcK-jwdfPhGh_TpYAHpmRP7qDZh_H_w=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Warteg","yg makanan nya enak, sayur nya gak dingin, porsi lumayan, 24jam""","",""
"https://www.google.com/maps/place/Warteg+Harapan+Jaya/data=!4m7!3m6!1s0x2e68e75fade94053:0x741bff029474c806!8m2!3d-6.9023733!4d107.60562!16s%2Fg%2F11jrck220t!19sChIJU0DprV_naC4RBsh0lAL_G3Q?authuser=0&hl=id&rclk=1","Warteg Harapan Jaya","3,3","(4)","","","Tegal","·","","Jl. Linggawastu No.24","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGvuB99Y7CRLs8XBdaNPpPpDxzCpQ_WXbBFcLYNk4W-XlE6XcK3yzvPbRnT-rag6ByUSRol8BUWXrnx7zT-xNipPjAEdb54yqI0P4QaXBr_nVsZEGLh_f2_Etdi549YBey7ZmY4=w163-h92-k-no","","Makan di tempat","Bawa pulang","Pesan antar","· Buka Sen pukul 09.00","·"
"https://www.google.com/maps/place/Warteg+Marga+Jaya/data=!4m7!3m6!1s0x2e68e655a84450ad:0xd234431775f70e74!8m2!3d-6.8888934!4d107.6179584!16s%2Fg%2F11b6hk2wmh!19sChIJrVBEqFXmaC4RdA73dRdDNNI?authuser=0&hl=id&rclk=1","Warteg Marga Jaya","4,2","(9)","","","Tegal","·","","·","Jl. Sekeloa No.21","Buka","https://lh3.googleusercontent.com/gps-proxy/ALd4DhEQ1Yg-i4grrkYbjqlPq2UBAp69WsOvXO7SXqN_IzIHXYwmZFiV3QwzfrY3VYQocGFRejqG6LF2FHFuSWOnvD06topgPqFOPUHqqRV6GB3r91GAdss1MqWUop7KriNskalzUmxj1InHaMzYHlLInzq01KE5OfyIFzZwMP3H580rpJrG_EglkfG9qGqA3k7f-2mFpZI=w122-h92-k-no","","Makan di tempat","Bawa pulang","","· Tutup pukul 23.00","·"
"https://www.google.com/maps/place/Warteg+Barokah+Jaya+Tubagus/data=!4m7!3m6!1s0x2e68e655b5eaf481:0xc63f4d9e9acf0437!8m2!3d-6.8890629!4d107.6171794!16s%2Fg%2F11bzwp_pq_!19sChIJgfTqtVXmaC4RNwTPmp5NP8Y?authuser=0&hl=id&rclk=1","Warteg Barokah Jaya Tubagus","4,4","(9)","","","Tegal","·","","·","Jl. Tubagus Ismail Dalam No.51","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG4lptGyonWDPy3pay37G7TXsJTqhAlZ85PFdeid7zCqRpZ1wXxrNONLoKigE1Pz9QMkJeFsJcMIXrmlQCv0PoamBLOd29n9qZPSJwxmFmn1Fa_QR-9QjshYSsYix2fOtCRDxn4WA=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak nyaman dan harga murah""","","","· Tutup pukul 23.00",""
"https://www.google.com/maps/place/Warteg+Podomoro/data=!4m7!3m6!1s0x2e68e65565123203:0xb74684a4a8745620!8m2!3d-6.8872149!4d107.6194411!16s%2Fg%2F11gf1r2km5!19sChIJAzISZVXmaC4RIFZ0qKSERrc?authuser=0&hl=id&rclk=1","Warteg Podomoro","4,7","(50)","·","Rp 1–25.000","Tegal","·","","·","Jl. Ciheulang No.233","Buka sekarang","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGyHRZL3L2v1w-aazxAkDWSCD0ZjjP98fHeurIi_83Ig8uQnPUR2x8Za3mytvxWsmrG-jtkeVr_Bq5__mVtIgf5tjdtU40gl8uZt8r1CrTpdXmVidxQg9EPOLNGHWnVubrWPq2Y=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Menu banyak, rasa enak, pas selera lidah""","","","",""
"https://www.google.com/maps/place/Warteg+Satria/data=!4m7!3m6!1s0x2e68e7677b7828a1:0xfc6071dc7513a0db!8m2!3d-6.8960437!4d107.6179025!16s%2Fg%2F11jpw5hgms!19sChIJoSh4e2fnaC4R26ATddxxYPw?authuser=0&hl=id&rclk=1","Warteg Satria","4,8","(16)","","","Tegal","·","","Jl. Singa Perbangsa No.103a","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH8SPoqNzyqRbG_7AKnmzb4-dzii74Gj4uDfKqu0ZGyI6uGU036YWeVLQM2rfrMFOATcUNtGp0SQ48TZfSOQPbrtOOcd5CjGkArTtz2pRHYr9QLtyucBoeOIvX5WrUvm3cLZqHi=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""langganan","warteg","murah meriah""","· Buka Sen pukul 06.00",""
"https://www.google.com/maps/place/WARTEG+RESTU+IBU+PENGKOLAN/data=!4m7!3m6!1s0x2e68e7005a7693bf:0xac58e52f22b437fc!8m2!3d-6.8898404!4d107.6168883!16s%2Fg%2F11xsv7rh63!19sChIJv5N2WgDnaC4R_De0Ii_lWKw?authuser=0&hl=id&rclk=1","WARTEG RESTU IBU PENGKOLAN","5,0","(1)","","","Tegal","·","","·","Jl. Tubagus Ismail Bawah No.2","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xhAK-FwICo0FubZUt_4iqA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=80.792206&pitch=0&thumbfov=100","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""membantu menambahkan tempat.barangkali ada yang cari","warteg",".""","",""
"https://www.google.com/maps/place/Warteg+Barokah+Warung+Nasi+Tegal/data=!4m7!3m6!1s0x2e68e647877c81cb:0xfc4bd0ab69f3d8ba!8m2!3d-6.9077219!4d107.6072535!16s%2Fg%2F11g1bgbycg!19sChIJy4F8h0fmaC4RutjzaavQS_w?authuser=0&hl=id&rclk=1","Warteg Barokah Warung Nasi Tegal","4,7","(40)","·","Rp 1–25.000","Restoran","·","","Jl. Wastukencana No.51","","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE0CccUMiA8pi4OAMv9Bv292gRgXi3M2OQ8bKXww6SOsW8ucIQssyyYp5pED5nf0ju6XamXaLd0Ex7O2zZ23Qm6EwNjMFDw4AOfIlSb8IiX10fXqD77YLqv340tw7cgzcZkT8g=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan enak dan murah pas di kantong Terima kasih""","","","· 21.00 · Buka Sen pukul 07.00",""
"https://www.google.com/maps/place/WARTEG+MERAHPUTIH+BAHARI/data=!4m7!3m6!1s0x2e68e6ff09353359:0xa94c635e3234c96d!8m2!3d-6.8849893!4d107.6182191!16s%2Fg%2F11sv2kmwmr!19sChIJWTM1Cf_maC4Rbck0Ml5jTKk?authuser=0&hl=id&rclk=1","WARTEG MERAHPUTIH BAHARI","2,7","(6)","","","Restoran","·","","Jl. Tubagus Ismail No.31","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=64yD9-RoUGRvtp96Tslf0g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=355.1303&pitch=0&thumbfov=100","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga standar rasa tetap enak.""","","","",""
