"hfpxzc href","qBF1Pd","W4Efsd","Cw1rxd","R8c4Qb"
"https://www.google.com/maps/place/Shafira+Sulanjana/data=!4m7!3m6!1s0x2e68e64f9c214007:0xfd39916ce9835b29!8m2!3d-6.899605!4d107.6106731!16s%2Fg%2F11g6nl2h5t!19sChIJB0AhnE_maC4RKVuD6WyROf0?authuser=0&hl=id&rclk=1","Shafira Sulanjana","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Tamansari+Kebun+Binatang/data=!4m7!3m6!1s0x2e68e65a15a5c765:0xa9f4db12c864e4b1!8m2!3d-6.893336!4d107.608346!16s%2Fg%2F11b6cb1cfv!19sChIJZcelFVrmaC4RseRkyBLb9Kk?authuser=0&hl=id&rclk=1","Tamansari Kebun Binatang","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Citroengros+Kitchen/data=!4m7!3m6!1s0x2e68e64e5ab7cddf:0x58bd9133cca16027!8m2!3d-6.899149!4d107.613483!16s%2Fg%2F11hd8hml57!19sChIJ3823Wk7maC4RJ2ChzDORvVg?authuser=0&hl=id&rclk=1","Citroengros Kitchen","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Dispora+Kota+Bandung/data=!4m7!3m6!1s0x2e68e65aa0edff11:0x87ae4a0e5eed37f3!8m2!3d-6.89625!4d107.60958!16s%2Fg%2F11ynxypyd1!19sChIJEf_toFrmaC4R8zftXg5Kroc?authuser=0&hl=id&rclk=1","Dispora Kota Bandung","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Baiturrahman/data=!4m7!3m6!1s0x2e68e6f8a8e516f9:0x853c17fa983b9924!8m2!3d-6.88663!4d107.61502!16s%2Fg%2F11ygxj8sn3!19sChIJ-RblqPjmaC4RJJk7mPoXPIU?authuser=0&hl=id&rclk=1","Baiturrahman","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Dipatiukur/data=!4m7!3m6!1s0x2e68e6f8bfdeee39:0x367194dbe812136a!8m2!3d-6.8856764!4d107.614149!16s%2Fg%2F11nbb597g8!19sChIJOe7ev_jmaC4RahMS6NuUcTY?authuser=0&hl=id&rclk=1","Dipatiukur","Perhentian bus","","Rute"
"https://www.google.com/maps/place/ICBC/data=!4m7!3m6!1s0x2e68e64f010d215b:0x9d540855c0ae4a9f!8m2!3d-6.90003!4d107.61234!16s%2Fg%2F11gh1nj708!19sChIJWyENAU_maC4Rn0quwFUIVJ0?authuser=0&hl=id&rclk=1","ICBC","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Dunks+Motor/data=!4m7!3m6!1s0x2e68e6f6ec6569a1:0xc636e2a32e326f93!8m2!3d-6.88364!4d107.60556!16s%2Fg%2F11c6rxnt12!19sChIJoWll7PbmaC4Rk28yLqPiNsY?authuser=0&hl=id&rclk=1","Dunks Motor","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Cikapayang+Dago+2/data=!4m7!3m6!1s0x2e68e64e4677f241:0x17f083ad95fc9e44!8m2!3d-6.89879!4d107.61353!16s%2Fg%2F11xh4skwq9!19sChIJQfJ3Rk7maC4RRJ78la2D8Bc?authuser=0&hl=id&rclk=1","Cikapayang Dago 2","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Sekolah+Bisnis+dan+Manajemen/data=!4m7!3m6!1s0x2e68e6581b6f52ed:0x33ac7f4770e76855!8m2!3d-6.88774!4d107.60926!16s%2Fg%2F11gh1nkc6l!19sChIJ7VJvG1jmaC4RVWjncEd_rDM?authuser=0&hl=id&rclk=1","Sekolah Bisnis dan Manajemen","Perhentian bus","","Rute"
"https://www.google.com/maps/place/RS+Santo+Borromeus+B/data=!4m7!3m6!1s0x2e68e651a60e11e9:0xec74e66e7b9bb74d!8m2!3d-6.8949!4d107.61346!16s%2Fg%2F11vkl8dds3!19sChIJ6REOplHmaC4RTbebe27mdOw?authuser=0&hl=id&rclk=1","RS Santo Borromeus B","Perhentian bus","","Rute"
