"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","M4A5Cf","ah5Ghc 2"
"https://www.google.com/maps/place/Yumaju+Dago/data=!4m7!3m6!1s0x2e68e76bb4ee4103:0xe69dbc80f8eed463!8m2!3d-6.89199!4d107.6129982!16s%2Fg%2F11yxnl1539!19sChIJA0HutGvnaC4RY9Tu-IC8neY?authuser=0&hl=id&rclk=1","Yumaju Dago","4,6","(97)","·","Rp 25–50 rb","Kedai Kopi","·","Jl. Ir. H. Juanda No.119a","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEBHZAzGI11uyRuLpQn99meYjlS58Dr6eavSC248hR7DSKOojbjTgctc5cCPoCCOfbkL0lukpSWXyGsq2yqG8hW4BQhibfN4hERG4T2FqPBk9TvRwu2IJyWGkwbE6zYtqDlgqONBO8H2Kdq=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kopi nya enakkk makanannya enakk enakkk tempat nya nyaman""","","","","",""
"https://www.google.com/maps/place/Kedai+Bandung/data=!4m7!3m6!1s0x2e68e75c70978b73:0x20870c1d746919ca!8m2!3d-6.8949652!4d107.6092634!16s%2Fg%2F11w1x8h1kr!19sChIJc4uXcFznaC4RyhlpdB0MhyA?authuser=0&hl=id&rclk=1","Kedai Bandung","5,0","(6)","","","Kafe","·","Sebrang MBA ITB, Jl. Gelap Nyawang","Buka","· Tutup pukul 20.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHbT9wrjz3Exqe7jXib3YXruQUkRMw1s2sp1NVqdvIC8JrXZ1TRG2rUVZDdJI9xbsnW2gjQj5OhVc08Wh3BYU_kkkAHMgbsf2IDEMLaZm_O45w3j82QcbypNA_omG4Y6mt0OpwD3g=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak pisan pokoknya, wajib dicobain 😍😍""","","","","",""
"https://www.google.com/maps/place/Medane+Coffee/data=!4m7!3m6!1s0x2e68e91270eb3b2d:0x8017d45f88ebfe55!8m2!3d-6.887807!4d107.6132409!16s%2Fg%2F11kn3j0l1d!19sChIJLTvrcBLpaC4RVf7riF_UF4A?authuser=0&hl=id&rclk=1","Medane Coffee","4,9","(15)","","","Kedai Kopi","·","Jl. Ir. H. Juanda No.157","Buka","· Tutup pukul 20.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGKrfF-AcpMqVbvipUVHOieiQoxFA7Ihu36TuLBPE8SH24LskgiRhi_PUsUz7zc1TBq-Q6YYGSsJPW2jl_aNd2TRozbSypPVSjRjjGA70GkQ_N9HhmaePvvxg9aEZhAURRsDqo=w122-h92-k-no","","Makan di tempat","","","","·","Bawa pulang"
"https://www.google.com/maps/place/KOZI+Coffee+Dipatiukur/data=!4m7!3m6!1s0x2e68e77190fdd037:0x5ebb5f9ac87360cf!8m2!3d-6.898163!4d107.6133243!16s%2Fg%2F11hsb478ld!19sChIJN9D9kHHnaC4Rz2BzyJpfu14?authuser=0&hl=id&rclk=1","KOZI Coffee Dipatiukur","4,7","(488)","·","Rp 25–50 rb","Kedai Kopi","·","·","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFvlZpCcre1njkuxYpnUTDfBa7FgVeGU6zymaIh277fa1IYBF47sTMQKQ08oT488jiOgkEqWlWO9xXoQlZXkfEVNVfkFijP7j8_4axCUHmv8MqydxGHu3O3Zng6qCqZGgVUCZjz=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak enak semua dengan harga yg reasonable.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFoc2I0NzhsZBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=izX3ad6WNMCgnesPobXY4QM&ei=izX3ad6WNMCgnesPobXY4QM&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Kedai+Koboi/data=!4m7!3m6!1s0x2e68e6507e51f6eb:0xe85958d5d31ad685!8m2!3d-6.8950059!4d107.609931!16s%2Fg%2F1pzrs6vbv!19sChIJ6_ZRflDmaC4RhdYa09VYWeg?authuser=0&hl=id&rclk=1","Kedai Koboi","4,5","(344)","·","Rp 1–25.000","Kafe","·","·","Buka","· Tutup pukul 02.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEpj-Q271VaOJS5f7XTncraGCLctyP8g98tqCW9LoJUSRnk2a9AAyBXbCmcjxC8Hi15vFLw0CbEbpJzNTs6scfDoaCEKsIVoHvxHJmBD_cPn99wLigQ7cw2zXx6aeDQJoqGTPZm6Q=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Saya pesan nasi ayam sama bakmie goreng, buat sambelnya pedes banget sih.""","","","","",""
"https://www.google.com/maps/place/Kopi+Kyomi/data=!4m7!3m6!1s0x2e68e73a9efb66bf:0xc48120de8d5b64f!8m2!3d-6.8895429!4d107.613792!16s%2Fg%2F11h4jws0g6!19sChIJv2b7njrnaC4RT7bV6A0SSAw?authuser=0&hl=id&rclk=1","Kopi Kyomi","4,6","(914)","·","Rp 25–50 rb","Kedai Kopi","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHTb2bE0YEx2jDHxJDVfk05Ih9Gha0STsTj-nsJlkhSXFfjPKeC3s1aUihLo5ka4lI5XiQtKK5-VZP5VNgvZQzPF0o6fbHmPl0ZeQtI_pObpcLfGYNdE663ncj92UY-G-zpdnA=w80-h99-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak dimsum lumpia udang enak
Pas buat bengong hahahaha""","","","","",""
"https://www.google.com/maps/place/Cozy+Corner+Bandung/data=!4m7!3m6!1s0x2e68e7f4997f1c91:0x53c9ce2567ff3026!8m2!3d-6.8952233!4d107.6113126!16s%2Fg%2F11ys4g913m!19sChIJkRx_mfTnaC4RJjD_ZyXOyVM?authuser=0&hl=id&rclk=1","Cozy Corner Bandung","4,9","(18)","·","Rp 25–50 rb","Kedai Kopi","·","Jl. Ciungwanara No.10","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHQsrbiwkbFla_lbkZ2ZLFUYSCi4D4QGt0yfWniU-MZcs_9QjQEI26Mf4S9ErvAcXzOT-x0RMmfITUqiN6xXfwwx4ATqaIUT6C5fuNw0-0LnHugCRfvPnHZ8nD2grCb-Ewu_IO_CQIq_pot=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya enak buat nugas dan ngumpul, Kopinya 👌🏻😉""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5czRnOTEzbRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=izX3ad6WNMCgnesPobXY4QM&ei=izX3ad6WNMCgnesPobXY4QM&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Glyn+Coffee+and+Space/data=!4m7!3m6!1s0x2e68e7775295ef1f:0x6eb857de0991bb0d!8m2!3d-6.897828!4d107.6078017!16s%2Fg%2F11twnfv4ll!19sChIJH--VUnfnaC4RDbuRCd5XuG4?authuser=0&hl=id&rclk=1","Glyn Coffee and Space","4,5","(12)","·","Rp 1–25.000","Kedai Kopi","·","Jl. Kebon Bibit No.10","Buka","· Tutup pukul 03.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGCm_9VkDky-pa_1MvVtg9QegOun0LHGZ6iGCd4pjd_TeoMfgVkDAzIlPV2XOiWULd-zvIB8WMqDtuYsLUXyj0IZZMfTdENItyhaZJ_ILfpYhY-DKMlwd3Rq-6ujRJllPR7wsg=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatny cozzy, kopi nya mantabs
Snack ny enak apalagi bakmie nya JUARA""","","","","",""
"https://www.google.com/maps/place/Warung+Kopi+Imah+Babaturan+2/data=!4m7!3m6!1s0x2e68e7006fd1932b:0x1353583b8e2e52a4!8m2!3d-6.8970905!4d107.6094628!16s%2Fg%2F11y393h8x9!19sChIJK5PRbwDnaC4RpFIujjtYUxM?authuser=0&hl=id&rclk=1","Warung Kopi Imah Babaturan 2","4,7","(670)","·","Rp 25–50 rb","Kedai Kopi","·","Jl. Tamansari No.51a","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHtDzqu1q-E2vKyqpFkPMCAh7fZE5hqgJWOD0M_ad1Fb1oxOXeE3v5QfRN1SPHFm5gd8PtOlXv5I7U-27PBrsdrTLOdMsEMvuXY1FQYLEziIf0lxzIeV9FqcDfKmHeDsMtr5ndD5yl8dS39=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Semua menu nya enak2, service nya juga gercep.""","","","","",""
"https://www.google.com/maps/place/Sarimbit+makan+ngopi/data=!4m7!3m6!1s0x2e68e7d7510e1dd5:0x68f8a5b90dc1187a!8m2!3d-6.8949511!4d107.6094573!16s%2Fg%2F11zhzfzkjn!19sChIJ1R0OUdfnaC4RehjBDbml-Gg?authuser=0&hl=id&rclk=1","Sarimbit makan ngopi","5,0","(37)","·","Rp 25–50 rb","Kedai Kopi","·","Jl. Gelap Nyawang No.05","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEwq6E-1LS7-FNBcBu0rOroXmjGQlFYEoUkN_myff93QKDcsrOYsCjExtDL90Xc0iFPeZvN39Fy1t7JbQzzhw5_OGw8GUq4nb0NX31OYb3SttTDax70OfdQ1gXipRIgQc3ikpe3JglIfaKS=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat makan ter-worth it sih
Harga nya terjangkau, makannya enak-enak!""","","","","",""
"https://www.google.com/maps/place/Toko+Kopi+Selamat/data=!4m7!3m6!1s0x2e68e7e0bdfbee17:0xf094a74ce6be1a38!8m2!3d-6.8896524!4d107.6078485!16s%2Fg%2F11x7y04y09!19sChIJF-77veDnaC4ROBq-5kynlPA?authuser=0&hl=id&rclk=1","Toko Kopi Selamat","5,0","(3)","","","Kedai Kopi","·","kebun seni, Jl. Tamansari No.69","Buka","· Tutup pukul 20.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGpAT6J9ALitDx7PZljKX_8c5dqE06nGFYFbDWxc8SMDVGjKmvvmsSc0vGNXyEXOA_vh7VH2RnHIMdZ6GHMzYy4ij-fyVuN8Zft9rmd6AEYdbWpKA4kvxfK9XMwLtsC_yaX2HRxdPpE2hNo=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Saya kenal sama owner, ownernya baik ramah,rajin sholat""","","","","",""
"https://www.google.com/maps/place/Two+Hands+Full+Dago/data=!4m7!3m6!1s0x2e68e68ca3e607d3:0x1ad911ec6c6ccf0b!8m2!3d-6.8924806!4d107.6126885!16s%2Fg%2F11b6hsqr97!19sChIJ0wfmo4zmaC4RC89sbOwR2Ro?authuser=0&hl=id&rclk=1","Two Hands Full Dago","4,5","(2.151)","·","$$","Kedai Kopi","·","·","Buka","· Tutup pukul 20.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFiN5ghQ6o-ylB2rygMfUZIauAlUpo09UOU4CIUSrsg2bUt224TWIvaU14kkwBDC9HHEhF2bIPnrGgEsB2GX2gWB5ZJZisMRnO0zom0SCoDdH41UobEedoa5J1R_pwkWltUW8I=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanan enak, coffee the best, tempat nyaman""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFiNmhzcXI5NxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=izX3ad6WNMCgnesPobXY4QM&ei=izX3ad6WNMCgnesPobXY4QM&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Sarimbit+makan+ngopi/data=!4m7!3m6!1s0x2e68e7d7510e1dd5:0x68f8a5b90dc1187a!8m2!3d-6.8949511!4d107.6094573!16s%2Fg%2F11zhzfzkjn!19sChIJ1R0OUdfnaC4RehjBDbml-Gg?authuser=0&hl=id&rclk=1","Sarimbit makan ngopi","5,0","(37)","·","Rp 25–50 rb","Kedai Kopi","·","Jl. Gelap Nyawang No.05","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEwq6E-1LS7-FNBcBu0rOroXmjGQlFYEoUkN_myff93QKDcsrOYsCjExtDL90Xc0iFPeZvN39Fy1t7JbQzzhw5_OGw8GUq4nb0NX31OYb3SttTDax70OfdQ1gXipRIgQc3ikpe3JglIfaKS=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat makan ter-worth it sih
Harga nya terjangkau, makannya enak-enak!""","","","","",""
"https://www.google.com/maps/place/Toko+Kopi+Selamat/data=!4m7!3m6!1s0x2e68e7e0bdfbee17:0xf094a74ce6be1a38!8m2!3d-6.8896524!4d107.6078485!16s%2Fg%2F11x7y04y09!19sChIJF-77veDnaC4ROBq-5kynlPA?authuser=0&hl=id&rclk=1","Toko Kopi Selamat","5,0","(3)","","","Kedai Kopi","·","kebun seni, Jl. Tamansari No.69","Buka","· Tutup pukul 20.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGpAT6J9ALitDx7PZljKX_8c5dqE06nGFYFbDWxc8SMDVGjKmvvmsSc0vGNXyEXOA_vh7VH2RnHIMdZ6GHMzYy4ij-fyVuN8Zft9rmd6AEYdbWpKA4kvxfK9XMwLtsC_yaX2HRxdPpE2hNo=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Saya kenal sama owner, ownernya baik ramah,rajin sholat""","","","","",""
"https://www.google.com/maps/place/Kedai+tepi/data=!4m7!3m6!1s0x2e68e742fc5b32bd:0xa25cabdb72ee2bf7!8m2!3d-6.8948536!4d107.6119056!16s%2Fg%2F11xp39212x!19sChIJvTJb_ELnaC4R9yvucturXKI?authuser=0&hl=id&rclk=1","Kedai tepi","5,0","(7)","·","Rp 1–25.000","Kedai Kopi","·","Jl. Ciungwanara No.12","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF97zkCQF_FqcN_pBLbSAnbWqROi9onO-2cp8rZiBlZddSiteF4fpMzQfp4Nqe5UORPJwy9u-G7HESnv66GxQD6iwWese5-0CUneE-IPnq_8XB4rsgVY496BMJLU5g5rn_kkmBL-HZO0Xs=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""burger nya enak madep lah buatan si dede otot mah🤝""","","","","",""
"https://www.google.com/maps/place/Riels+Coffee/data=!4m7!3m6!1s0x2e68e7bd73037f17:0x36a7623582f55e0e!8m2!3d-6.8917719!4d107.6133712!16s%2Fg%2F11f655y0yb!19sChIJF38Dc73naC4RDl71gjVipzY?authuser=0&hl=id&rclk=1","Riels Coffee","4,3","(364)","·","Rp 25–50 rb","Kedai Kopi","·","Jl. Ir. H. Juanda No.116","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFsj269G12TsZq47ozdbnDYr2r7AuhneyYepWPKCXiXDHPstm65ubLsOqshsKqX8F1GCQltWmvQyKyty3xo_Pq1jd7yq0TZS2y-aPCJVeoeV26xTSwpqdwFqbSpe8WsaXlSppYE=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cocok untuk nongkrong sambil melihat mobil2 yg berlalulalang.""","","","","",""
"https://www.google.com/maps/place/Midnight+coffee/data=!4m7!3m6!1s0x2e68e7282ebc2c4b:0x3ce5be3c36b3c1fa!8m2!3d-6.8873114!4d107.6134716!16s%2Fg%2F11mrqynk4z!19sChIJSyy8LijnaC4R-sGzNjy-5Tw?authuser=0&hl=id&rclk=1","Midnight coffee","5,0","(7)","","","Kedai Kopi","·","Jl. Ir. H. Juanda","Buka","· Tutup pukul 01.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGNpUFHBUKrpm-2Odp-iLOTN9wrW6Y78lfkSMfE5x0q_lCwxAWPDskmuGf4DpzECmZfmhp9YkYgpRpdje_wnNtS3-7Dxp3SVzr_5GXzNWgoBCCu6D7AK2EDv8Ojhf0_Irj8cF4hbVqPT8zU=w80-h106-k-no","","Makan di tempat","","","","·","Bawa pulang"
