"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","doJOZc","W4Efsd 7","lcr4fd href","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/Sampurna+Print+Shop+Gejayan/data=!4m7!3m6!1s0x2e7a59bb2fb4f475:0x97c317f8cf3e05d8!8m2!3d-7.769081!4d110.390995!16s%2Fg%2F1pzwfcw2z!19sChIJdfS0L7tZei4R2AU-z_gXw5c?authuser=0&hl=id&rclk=1","Sampurna Print Shop Gejayan","3,6","(472)","Toko Percetakan","·","Jl. Gejayan CT X No.08","Buka","· Tutup pukul 19.00","·","(0274) 524339","","Rute","","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Memang hasilnya bagus, tapi terlalu lama untuk sekedar cetak foto.""","",""
"https://www.google.com/maps/place/foto+copy+24+jam+BERKAH+JAYA+BERSAMA/data=!4m7!3m6!1s0x2e7a594960e4c5ff:0xc62f33dab362beae!8m2!3d-7.7734118!4d110.3889855!16s%2Fg%2F11trdmlksk!19sChIJ_8XkYElZei4Rrr5is9ozL8Y?authuser=0&hl=id&rclk=1","foto copy 24 jam BERKAH JAYA BERSAMA","4,3","(69)","Toko Fotokopi","·","·","Buka 24 jam","","Gg. Guru No.3a","0895-3346-69080","","Rute","","·","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Foto copy berkah cenan""","",""
"https://www.google.com/maps/place/Pahala+Print+On+Demand/data=!4m7!3m6!1s0x2e7a58f88395a2f3:0xad176486db3c5ca2!8m2!3d-7.7544453!4d110.3701188!16s%2Fg%2F11b66j5_3m!19sChIJ86KVg_hYei4Rolw824ZkF60?authuser=0&hl=id&rclk=1","Pahala Print On Demand","4,4","(271)","Toko Fotokopi","·","Jl. Monjali No.41","Tutup","· Buka Sen pukul 08.00","·","0811-1838-597","","Rute","","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Print","poster A3 pakai art paper di sini 3,5K."""
"https://www.google.com/maps/place/Fotokopi+Cozy/data=!4m7!3m6!1s0x2e7a5836711af153:0xec0aaf36af3860d1!8m2!3d-7.7770178!4d110.3719274!16s%2Fg%2F1hm32xpl2!19sChIJU_EacTZYei4R0WA4rzavCuw?authuser=0&hl=id&rclk=1","Fotokopi Cozy","4,3","(511)","Toko Fotokopi","·","·","Buka","· Tutup pukul 22.00","Jl. DR. Sardjito No.98","(0274) 2921488","","Rute","","·","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Hasil fotocopyannya bagus, bisa","print","hitam putih, warna, & scan."""
"https://www.google.com/maps/place/ORTINDO+Digital+Printing/data=!4m7!3m6!1s0x2e7a59b79c9304cf:0x87818ff9dd82256b!8m2!3d-7.7656557!4d110.3919001!16s%2Fg%2F11b6c5_p20!19sChIJzwSTnLdZei4RayWC3fmPgYc?authuser=0&hl=id&rclk=1","ORTINDO Digital Printing","3,5","(1.508)","Toko Percetakan","·","·","Jl. Gejayan CT X No.59","Tutup","· Buka Sen pukul 08.00","(0274) 6411913","","Situs Web","","·","https://ortindo.com/","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Hasil","print","sangat bagus, harga affordable."""
"https://www.google.com/maps/place/Nusa+Indah+2+Fotocopy/data=!4m7!3m6!1s0x2e7a599b1a3446bb:0xd8dbcd55dae368d1!8m2!3d-7.7598314!4d110.4123962!16s%2Fg%2F11b6j8x6fx!19sChIJu0Y0GptZei4R0Wjj2lXN29g?authuser=0&hl=id&rclk=1","Nusa Indah 2 Fotocopy","4,4","(136)","Toko Fotokopi","·","Jl. Prawiro Kuat","Buka","· Tutup pukul 22.00","·","0818-0437-6790","","Rute","","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""ngeprint dengan pelayanan cepat""","",""
"https://www.google.com/maps/place/Ardia+Print+%26+Copy/data=!4m7!3m6!1s0x2e7a5836ed5a4855:0x4f7b84b679c3480d!8m2!3d-7.778424!4d110.3710487!16s%2Fg%2F11j8qf5f7s!19sChIJVUha7TZYei4RDUjDebaEe08?authuser=0&hl=id&rclk=1","Ardia Print & Copy","4,7","(11)","Printer Digital","·","Jl. DR. Sardjito No.72A","Segera tutup","· 18.00 · Buka Sen pukul 09.00","·","0815-5555-702","","Rute","","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan cepat, hasil cukup bagus""","",""
"https://www.google.com/maps/place/Amanah+Print+Copy/data=!4m7!3m6!1s0x2e7a59b174b92b6f:0xd3667660738db6f6!8m2!3d-7.7660434!4d110.386412!16s%2Fg%2F11c0r479d1!19sChIJbyu5dLFZei4R9raNc2B2ZtM?authuser=0&hl=id&rclk=1","Amanah Print Copy","4,9","(18)","Toko Fotokopi","·","Jl. Manggis Klebengan CT 8 Blok B No. 10, Caturtunggal, Depok","Buka","· Tutup pukul 21.50","·","0857-2972-1419","","Rute","","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Print2an harga yang pas dan pelayanan yang asik""","",""
"https://www.google.com/maps/place/Sampurna+Seturan+Digital+Print/data=!4m7!3m6!1s0x2e7a59229ae1c939:0x3dab348e3cbe1950!8m2!3d-7.7714497!4d110.4093574!16s%2Fg%2F11lg0666rr!19sChIJOcnhmiJZei4RUBm-PI40qz0?authuser=0&hl=id&rclk=1","Sampurna Seturan Digital Print","3,4","(135)","Layanan cetak digital","·","Jl. Seturan Raya No.04 Blok A","Buka","· Tutup pukul 19.00","·","(0274) 4332978","","Rute","","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempat cetak paling recomend diantara yg lain!""","",""
"https://www.google.com/maps/place/Giandra+Print/data=!4m7!3m6!1s0x2e7a59002b7ccf63:0xbd4a6aafd657b196!8m2!3d-7.778341!4d110.395281!16s%2Fg%2F11mk9l1m3t!19sChIJY898KwBZei4RlrFX1q9qSr0?authuser=0&hl=id&rclk=1","Giandra Print","5,0","(7)","Toko Percetakan","·","69CW+M35, Jl. Petung - Gg. Mushola","Buka","· Tutup pukul 21.00","·","0877-2565-2816","","Rute","","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sangat puas cetak disini jdi langganan dech...""","",""
