"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","UsdlK","FQ2IWe src","Jn12ke src","ah5Ghc"
"https://www.google.com/maps/place/Alfamidi+Sorowajan/data=!4m7!3m6!1s0x2e7a5940bf1d6fe7:0x31f913f58dee8ca0!8m2!3d-7.7906643!4d110.3984725!16s%2Fg%2F11rw9fvj_z!19sChIJ528dv0BZei4RoIzujfUT-TE?authuser=0&hl=id&rclk=1","Alfamidi Sorowajan","4,1","(116)","Minimarket","·","","Jl. Sorowajan BaruJomblangan, BanguntapanKec","","Buka 24 jam","","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFjRHNBAQQlUcm7h2n9dCLUfbk-H0Ee6jknVAZUgYsbEfJcGalWDTEEpJT719bXB97CrpnnA-Wg3iyDXxLRan3eJ4sTswl4Uf_Ibt0WgzwzNZR7ZvK_7oms1d6f0JHP7iXbXJ2Y=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bagus murah lengkap"""
"https://www.google.com/maps/place/Alfamart+Abu+Bakar+Ali/data=!4m7!3m6!1s0x2e7a5941fb918825:0xfda92533bd53d3f0!8m2!3d-7.7881125!4d110.3725301!16s%2Fg%2F11q7h0pm2f!19sChIJJYiR-0FZei4R8NNTvTMlqf0?authuser=0&hl=id&rclk=1","Alfamart Abu Bakar Ali","4,1","(143)","Minimarket","·","","Jl. Abu Bakar Ali","","Buka sekarang","","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFhLr57LRvGhTZixDbpMK_d5W-ivDHTWWrrthH2_6Saj1_tiLrGoirZjIwGybqOvRhayAhMtjlWaunrAYgf5bcjbUtIZXTknC1OrQ7axY9IAKbJcdGKHpcn50eRPs4TeUtq5MSQjQ=w80-h110-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""alfamart ini rapi,bersih,dan nyaman apalagi kasirnya ramah ramah"""
"https://www.google.com/maps/place/Minimarket+Vivo+RS+Pantirapih/data=!4m7!3m6!1s0x2e7a594939d9e655:0xb2d774b1f34f8a48!8m2!3d-7.7770201!4d110.3772723!16s%2Fg%2F11gkwctktq!19sChIJVebZOUlZei4RSIpP87F017I?authuser=0&hl=id&rclk=1","Minimarket Vivo RS Pantirapih","4,3","(16)","Minimarket","·","","69FG+5WR RS. Pantirapih","","Buka","· Tutup pukul 21.00","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHFVEvptNTUIynWYCDm36_Iq7KWcBD-cww-NMmgE7-Zuyki5X40nN_iVEFuqIf6ztA6o7DKStQo6Wr0Aoj4T6t8haNIkTBY55kY5LZji4UAm7x0q3E3FBS4swMvPbDepA8kuo3W=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lengkap ges makanan plus jajanan nya bisa makan ditempat juga"""
"https://www.google.com/maps/place/Alfamidi+Sorowajan/data=!4m7!3m6!1s0x2e7a5940bf1d6fe7:0x31f913f58dee8ca0!8m2!3d-7.7906643!4d110.3984725!16s%2Fg%2F11rw9fvj_z!19sChIJ528dv0BZei4RoIzujfUT-TE?authuser=0&hl=id&rclk=1","Alfamidi Sorowajan","4,1","(116)","Minimarket","·","","Jl. Sorowajan BaruJomblangan, BanguntapanKec","","Buka 24 jam","","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFjRHNBAQQlUcm7h2n9dCLUfbk-H0Ee6jknVAZUgYsbEfJcGalWDTEEpJT719bXB97CrpnnA-Wg3iyDXxLRan3eJ4sTswl4Uf_Ibt0WgzwzNZR7ZvK_7oms1d6f0JHP7iXbXJ2Y=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bagus murah lengkap"""
"https://www.google.com/maps/place/Indomaret+Babarsari+1/data=!4m7!3m6!1s0x2e7a59f2956b46bb:0xa2243b3100ae1472!8m2!3d-7.7744127!4d110.4157365!16s%2Fg%2F11b6394q33!19sChIJu0ZrlfJZei4RchSuADE7JKI?authuser=0&hl=id&rclk=1","Indomaret Babarsari 1","3,8","(78)","Minimarket","·","","·","6CG8+67Q, Jl. Babarsari","Buka 24 jam","","·","1 500 580","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGUZuXf8Pc6inBkKs70dtmTu8AGGRxoy6_JO_oGtGXV-X3yo0PCYjbDf-lMl_9lfLrOCDyaasOzdKIby-wJTqd1tsYKmKskN_Cetz_p0SlIa2ujpGMbqvnBqqNRfICklRP0Xu3QFq8pY4ar=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanannya bagus"""
"https://www.google.com/maps/place/Indomaret+Janti/data=!4m7!3m6!1s0x2e7a59e585fc084d:0x68c4678fde18d2d!8m2!3d-7.783821!4d110.410604!16s%2Fg%2F11b67pgqs0!19sChIJTQj8heVZei4RLY3h_XhGjAY?authuser=0&hl=id&rclk=1","Indomaret Janti","4,2","(147)","Minimarket","·","","·","Jl. Raya Janti No.3","Buka","· Tutup pukul 22.00","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFQB6sAGtCc0rJltlURaldPIg2PKIuyJPSmCZ8OZCMQMAEZOWEDo0-YjrSQbTl9JrLuQLxujrsd0QL-iGmKIfzo_5htnYp5tbVDpCDZDpKq_ot5GfjZGNuzBpwkzF3F3LLs4JP2=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Turun dri bis beli dulu, pipis jga bisa sebelum pesan taxi yg ada disitu."""
"https://www.google.com/maps/place/PintMart+Sengon/data=!4m7!3m6!1s0x2e7a593c24dc15f1:0xb4274e8eebd3aba!8m2!3d-7.7855696!4d110.4072658!16s%2Fg%2F11q96zfk44!19sChIJ8RXcJDxZei4Rujq97uh0Qgs?authuser=0&hl=id&rclk=1","PintMart Sengon","","","Minimarket","·","","6C74+QWC, Gg. Sengon","","Buka 24 jam","","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=E_jFdFY_DQrGcntxh0LgQA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=176.48398&pitch=0&thumbfov=100","",""
"https://www.google.com/maps/place/Purwo+Mart+2+%28Warung+Kelontong+24+Jam%29/data=!4m7!3m6!1s0x2e7a598760824b55:0xdceebde830c1225f!8m2!3d-7.7505215!4d110.4052763!16s%2Fg%2F11ml04r89g!19sChIJVUuCYIdZei4RXyLBMOi97tw?authuser=0&hl=id&rclk=1","Purwo Mart 2 (Warung Kelontong 24 Jam)","5,0","(1)","Toko Kelontong Asia","·","","Jl. Asem Gede No.1","","Buka 24 jam","","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHhgySnxINtGDr-VI95HjElaCUOoJNqpYn9bZO6gTiCrt5XMj7r4JqqWW1wbfpVyJcPqWpd2-ZEaQQ8qAqGGrw5Dz-ssJd-FmwNJwxCzHrjztkV5YJhYbvTH4zZyuzea-DTpSWLEom-LpM=w122-h92-k-no","",""
"https://www.google.com/maps/place/7+Cemara+Mart+and+Food/data=!4m7!3m6!1s0x2e7a59aa6a9b27c3:0xc3e9e1fb0d791863!8m2!3d-7.7552675!4d110.3828264!16s%2Fg%2F11b7zv0bw9!19sChIJwyebaqpZei4RYxh5Dfvh6cM?authuser=0&hl=id&rclk=1","7 Cemara Mart and Food","4,3","(120)","Area Wi-Fi","·","","Jl. Kaliurang No.39","","Buka 24 jam","","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFQR0pqr_sMeJ5Shbjh4F3tTukxPuDnr0u7P9sc1fhSxJrSfbf9NEKLb1nrwRM14eqKHuRpPUlDQfkTTKcDEW6yRFTQOd7sAGgzV2OVAJvdEm1vNreBu9a1VMtEI3Q7rOCLVf-EFQ=w124-h92-k-no","",""
"https://www.google.com/maps/place/MiniMarket+Sarasa/data=!4m7!3m6!1s0x2e7a59d3540d5c39:0x8bfe09abb4715e42!8m2!3d-7.7901144!4d110.3787959!16s%2Fg%2F11f08d98s4!19sChIJOVwNVNNZei4RQl5xtKsJ_os?authuser=0&hl=id&rclk=1","MiniMarket Sarasa","4,2","(120)","Toko bahan makanan","·","","Jl. Argolubang No.22","·","Tutup","· Buka Sen pukul 07.30","","0818-0403-6168","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEljh8tA_BzGELijImZSsZoUmt5MTwNcC_-bHf5_h-NbqIYevDHi2Lo5TGh8CNRw2ExSAWyVTBT3HwPfkSCcWzPkvXESbShysOt4xGFUcHcI3_A3cYPLte3_FXmQWnoKo_TawI=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Produk lengkap,pelayann baik,harga murah"""
