"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","doJOZc","W4Efsd 6"
"https://www.google.com/maps/place/Cakra+Sport+Centre/data=!4m7!3m6!1s0x2e7a59ab9bf17a89:0x638cfa3762846d16!8m2!3d-7.758296!4d110.381877!16s%2Fg%2F11bbybn4bb!19sChIJiXrxm6tZei4RFm2EYjf6jGM?authuser=0&hl=id&rclk=1","Cakra Sport Centre","4,5","(111)","Tempat Fitness","·","·","Tutup","· Buka Sen pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHaAZ47RoR0oIZPFRasyYvWrVyJ4tOgaJHnOYBVuaU-XxVIA0VwKyRRPvILT0EweJVWMJZ-GZ1V6NKrY2jWY5zFD1R-1k0_h7UBxKFAw4pDhl2vcg8lP_5_YxRFT9COz21UV4Gs=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""cuma paling ada beberapa catatan aja sih.""","","","","Jl. Kaliurang Km. 5,5 No.44 Plaza Cakra Kembang Lt. 3"
"https://www.google.com/maps/place/No+Gadget+Fitness+by+BMD/data=!4m7!3m6!1s0x2e7a59003cffb1a3:0x5fb2eccc6aede3fa!8m2!3d-7.7670352!4d110.4105303!16s%2Fg%2F11mysznxww!19sChIJo7H_PABZei4R-uPtaszssl8?authuser=0&hl=id&rclk=1","No Gadget Fitness by BMD","5,0","(1)","Tempat Fitness","·","6CM6+593 Aula lt 3 pg tk budi mulia dua","Tutup","· Buka Sel pukul 08.00","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ab3VeGS1PzsJ0DlQWC0JMw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=87.62876&pitch=0&thumbfov=100","","","","","",""
"https://www.google.com/maps/place/Coach+Play+7+Gym+Jogja/data=!4m7!3m6!1s0x2e7a5974fc7d41f5:0x16bd7c4ddf0791d7!8m2!3d-7.7654968!4d110.4029461!16s%2Fg%2F11tmwyptqv!19sChIJ9UF9_HRZei4R15EH3018vRY?authuser=0&hl=id&rclk=1","Coach Play 7 Gym Jogja","4,7","(37)","Tempat Fitness","·","6CM3+R5C","Buka","· Tutup pukul 20.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAER5GOPPzAoA77k1AQ3_EB0BrGKeE0nQJ4pQYs_SYE99P0oe5x0jp8ysBo50FdrILEE_ibEQqNv3vQfWHrP8MiXPT7psRZmeJFEW0JOCVN-Zf1v9C05lacWvsfpqctj_SSYZi69Dw=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""... mahasiswa atau pekerja di Jogja yang sedang nyari","tempat gym",".""","",""
"https://www.google.com/maps/place/Max+Gym+Fitness+%26+Aerobic/data=!4m7!3m6!1s0x2e7a59d411617837:0xfa3fc9a66ea5e4ab!8m2!3d-7.7911165!4d110.3834183!16s%2Fg%2F11btlw719g!19sChIJN3hhEdRZei4Rq-SlbqbJP_o?authuser=0&hl=id&rclk=1","Max Gym Fitness & Aerobic","4,5","(135)","Tempat Fitness","·","·","Tutup","· Buka Sen pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGhp7WSXuCtf5iYXl1kPi7rjxgD7UtCQ3IT6kDqwbNeqUL43YLu21j_DVnuuF4Sj0OnYltiu5RlSzaeUN5WklzpZm10RLVqeacIemkdOxjKc6ZpcJaO42r6MrIpDjFYuNs43z7s=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Staff dan PT nya ramah2 ada mas bambang dan mas apri.""","","","","Jl. Argolubang No.10"
"https://www.google.com/maps/place/In+Balance/data=!4m7!3m6!1s0x2e7a58332f43a62d:0xcf4e9f2dc0b5d329!8m2!3d-7.7821521!4d110.3778597!16s%2Fg%2F11cjkq4546!19sChIJLaZDLzNYei4RKdO1wC2fTs8?authuser=0&hl=id&rclk=1","In Balance","4,9","(17)","Tempat Fitness","·","Kimaya Sudirman Yogyakarta by Harris, Jl. Jend. Sudirman No.89","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAES5q-M33COyCzrLa_VmT5L08VeDuFurytf4kG-MaFM2suXtRoOzdyk6Lg2qKMpnKLGKyfvTq-cYu4LV7poeggblk7_9mzXfdprHaWPC3Id9yv3ObfQzQVjVonWGzMu1eEok8NG=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","tempat gym","terdekat,","",""
"https://www.google.com/maps/place/WZone+Gym+Studio+-+Babarsari/data=!4m7!3m6!1s0x2e7a5925c18f087d:0xfddf2128c0af9eb3!8m2!3d-7.7740883!4d110.4120122!16s%2Fg%2F11xgt38531!19sChIJfQiPwSVZei4Rs56vwCgh3_0?authuser=0&hl=id&rclk=1","WZone Gym Studio - Babarsari","4,8","(194)","Pusat kebugaran","·","Ruko Rafflesia B2B, Jl. Babarsari","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFzyKg_9YTjx3U0AIkdsv-ewASwUqJcriTJRQY-sfNOZbgCRJwG5sm8n3znhAAdXJKpiAJcE4q9xEW50awmZzRhvwhS3RubsE0GvOfg7NBUl_qiVWQKdjnfhsD-UF_QfFb7Te5ATMMpGTgq=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","tempat gym","nyaman dengan alat","",""
"https://www.google.com/maps/place/Fitness+store/data=!4m7!3m6!1s0x2e7a59b4ecae5b8b:0x3920769eb5fa8cfd!8m2!3d-7.757579!4d110.3993542!16s%2Fg%2F11lgvfk3lw!19sChIJi1uu7LRZei4R_Yz6tZ52IDk?authuser=0&hl=id&rclk=1","Fitness store","5,0","(5)","Tempat Fitness","·","Jl. Kaliwaru","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFopN6t0llM4A6kMVpKpBsA5T7i2QEbBWK5iradUSnI3Snt9fnca5zlhHWdsIk9K5vGmB1I8FrhMMmb5YzTdVeaYktWv2SmGlWIDZVaTHbIUZsRdeIpLXVlHYNq4ZYDik3yrqmDzMW6H5o=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempatnya baguss dan terorganisir""","","","",""
"https://www.google.com/maps/place/Fitness+Center+Grand+Tjokro/data=!4m7!3m6!1s0x2e7a59ba6f507fb7:0xc0837ffaf6548507!8m2!3d-7.7669292!4d110.3915598!16s%2Fg%2F11c57y9r8s!19sChIJt39Qb7pZei4RB4VU9vp_g8A?authuser=0&hl=id&rclk=1","Fitness Center Grand Tjokro","4,4","(5)","Tempat Fitness","·","Grand Tjokro Yogyakarta Area, Jalan Affandi No.37, Caturtunggal, Depok","Buka 24 jam","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yB72ZBD310WLhH1WbI4kpw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=290.5797&pitch=0&thumbfov=100","","","","","",""
"https://www.google.com/maps/place/Forever+Active+by+BMD/data=!4m7!3m6!1s0x2e7a590057fedfbb:0xedb4713001f4c897!8m2!3d-7.7671917!4d110.4117401!16s%2Fg%2F11myssnswc!19sChIJu9_-VwBZei4Rl8j0ATBxtO0?authuser=0&hl=id&rclk=1","Forever Active by BMD","5,0","(1)","Tempat Fitness","·","6CM6+4Q6 gedung playschool budi mulia dua, Jl. Amarta lt 2","Buka","· Tutup pukul 20.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG47UrML2Q-bO3yyZkWplf4y8cUc94mfPvwg44K7Y0-u5-TwkeHze4mov6kBt1psDf3Dgap2sXKtYpdQmPonVRGqwqFQrW1B9VrC8bi8_5C_ZmQ0ux_CxFji8eJQcz5qUInV5jf78Kos9Fd=w80-h106-k-no","","","","","",""
"https://www.google.com/maps/place/Areafit+Fitness+Seturan/data=!4m7!3m6!1s0x2e7a590009d3c6e7:0xa097e9eead7be678!8m2!3d-7.7626722!4d110.4119325!16s%2Fg%2F11y8j6t_6m!19sChIJ58bTCQBZei4ReOZ7re7pl6A?authuser=0&hl=id&rclk=1","Areafit Fitness Seturan","4,3","(46)","Gym Tinju Muay Thai","·","Jl. Seturan Raya No.4","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEciScKDrh6X2bqYGkUbzZJKEo-RyIp776V2mbvcbd_dNjMMCGTj0jQxLWmZJwMf24JZ0HzRYmDXIlcj1p87LAGEoZN9eTWh7gsJi8cyFmbzuHHOaFeggepe1KoMCh5e35Uk9jB=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Comfy & clean bener nih","tempat gym","satu ini.""","",""
