"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","ah5Ghc","M4A5Cf","ah5Ghc 2","W4Efsd 6"
"https://www.google.com/maps/place/Warteg+Gemilang+Bahari+kebon+jeruk/data=!4m7!3m6!1s0x2e69f70076f01963:0x8ce51dc9281d8be!8m2!3d-6.1985424!4d106.7673584!16s%2Fg%2F11xp3q2y2v!19sChIJYxnwdgD3aS4RvtiBktxRzgg?authuser=0&hl=id&rclk=1","Warteg Gemilang Bahari kebon jeruk","5,0","(3)","Brunch","·","","Jl. Raya Kb. Jeruk No.9, RT.1/RW.6","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEQSwQ2wl2-dcr5XNqKSl-nQNjaWMoTYYSCOfh7-xYQp4hAWcAX5f_fzM02qdpR75ZyFbj_0D0yXyQf03B6r9lydART9zAy3PJxTqYnjD1n1ihtyP42UZjVEpLfD-e9_HEOnV0B60vBCKx4=w122-h92-k-no","Makan di tempat","","",""
"https://www.google.com/maps/place/Warteg+Aminah/data=!4m7!3m6!1s0x2e69f6e313618f03:0x104f05c977297c36!8m2!3d-6.1898396!4d106.7749565!16s%2Fg%2F11f6567cq4!19sChIJA49hE-P2aS4RNnwpd8kFTxA?authuser=0&hl=id&rclk=1","Warteg Aminah","4,4","(24)","Tegal","·","","·","Jl. Tosiga VII No.14, RT.14/RW.4","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFnAPB-i4QxKOEEAs1GUeLXwl4W6mhTxiDR0GvPTki53Qp14xCZwYfU8mmfhqCFoPqvTIxu6e86MiUT027gkIvoJfnwM6OHzOgFw1Iaus3Q04mw_U5Hh44yBb06OS9VbYDiO0uB=w80-h177-k-no","Makan di tempat","·","Bawa pulang","· Buka Min pukul 08.00"
"https://www.google.com/maps/place/Warteg+Putra+Jaya+Bahari+%28Kebon+Jeruk%29/data=!4m7!3m6!1s0x2e69f6e095424a03:0x3ec1e74f3987cb5c!8m2!3d-6.1969584!4d106.7751501!16s%2Fg%2F11c5rrjbx1!19sChIJA0pCleD2aS4RXMuHOU_nwT4?authuser=0&hl=id&rclk=1","Warteg Putra Jaya Bahari (Kebon Jeruk)","4,1","(45)","Tegal","·","","·","Jl. Raya Kb. Jeruk No.55 2, RT.3/RW.9","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGeiMonZu6HLMVThDo_rwoUsE_lprCqqI6UZ_otPFj-jXuLPbG8_bPUAAUjiCRYD2wAadcMCfMuV4kTdkBc9_kql8zMiMCqVMpNcqAohaLGcbcZwidfT8q_eSRTXqLSeO4wsUgi=w122-h92-k-no","Makan di tempat","·","Bawa pulang",""
"https://www.google.com/maps/place/Warteg+Putri+Bahari+Binus/data=!4m7!3m6!1s0x2e69f7000cf149bb:0x4edfd413feec1b60!8m2!3d-6.2010893!4d106.78211!16s%2Fg%2F11yr355xwr!19sChIJu0nxDAD3aS4RYBvs_hPU304?authuser=0&hl=id&rclk=1","Warteg Putri Bahari Binus","5,0","(5)","Dapur Umum","·","","Jl. Mandala No.5 1, RT.1/RW.9","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHCpTXHEt2MIZGE8EtST7dGaGt9pcfdrCO8L4G-UjRTnc9SibbdzhEBbyiGTN32gDFuFcxXnIhfeYjNj87i9ama3ShnCUtshFi40k8m9Na2YeZ9pgOSAyFYED9Vkq8hAxnzAfZv_UfDYHU=w80-h142-k-no","","","","· Buka Min pukul 07.00"
"https://www.google.com/maps/place/Warteg+Simpati+%28Bahari%29/data=!4m7!3m6!1s0x2e69f740e8c2367f:0xe4c0fcc2f0ef542!8m2!3d-6.1931531!4d106.7821705!16s%2Fg%2F11fdyl9z8h!19sChIJfzbC6ED3aS4RQvUOL8wPTA4?authuser=0&hl=id&rclk=1","Warteg Simpati (Bahari)","5,0","(4)","Tegal","·","","Jl. Budi Raya No.2B, RT.1/RW.5","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGpQtXqk6I6Mf9O4A-KdFV1AUXVkZZaDgs_wBdtancBqoyW3kiVH8vIJ6nDHYnXP95m6MNfQEaM9YSffw625BL4cg853lO-TvBMNH86YW2DEd7bbGyRU5gAai2J2EcjT3RU4lI=w80-h106-k-no","Makan di tempat","·","Bawa pulang","· Buka Sen pukul 06.00"
"https://www.google.com/maps/place/WARTEG+BAROKAH/data=!4m7!3m6!1s0x2e69f71bb6198e2f:0xaaca5110fc917d0!8m2!3d-6.1925499!4d106.762327!16s%2Fg%2F11cmth06tv!19sChIJL44Zthv3aS4R0BfJDxGlrAo?authuser=0&hl=id&rclk=1","WARTEG BAROKAH","4,3","(24)","Jawa Tengah","·","","·","Jl. Perjuangan No.14b, RT.3/RW.7","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGIjlhqxiSuo5wgGZnkhmaw4Bk4kcABFX340PH9IA7foIHClGVXGysSczZYhc9Uddjn6FdzK_DRcIsoLxnhC4gnJlwyAhTufQ-nPU2d1jjXDNQMOZmfEcMT1q61th7kHQUQ0z08=w163-h92-k-no","Makan di tempat","·","Bawa pulang","· Buka Min pukul 06.30"
"https://www.google.com/maps/place/Warteg+sofia/data=!4m7!3m6!1s0x2e69f7d49ccb974d:0x7eb918c732a96760!8m2!3d-6.2003668!4d106.7764483!16s%2Fg%2F11pcs8wpc8!19sChIJTZfLnNT3aS4RYGepMscYuX4?authuser=0&hl=id&rclk=1","Warteg sofia","5,0","(2)","Dapur Umum","·","","QQXG+VH4, Jl. Komp. Dpr 1, RT.3/RW.2","","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHplNCszaLFAxJ3uu-jbE8dHeuoxbiFTvLjlVRwSufSOUds9TMM_7EIPZLRmN31k029fvBoCR7PaEPy1vm88d7h1iFYHeaqTI7h24Z4jE9UCQ8j4jQjBg2Bf5WCgyZ_T0zhq6iQ2A=w163-h92-k-no","","","","· Tutup Min pukul 06.00"
"https://www.google.com/maps/place/Warteg+AW/data=!4m7!3m6!1s0x2e69f6c2fb42b347:0x35c30401d05ef44d!8m2!3d-6.2002006!4d106.7847082!16s%2Fg%2F11cjhzhwb2!19sChIJR7NC-8L2aS4RTfRe0AEEwzU?authuser=0&hl=id&rclk=1","Warteg AW","4,5","(186)","Tegal","·","","·","Jl. H. Sennin No.51 3, RT.6/RW.12","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG_PuILF0BUERCwM4W_2TVzBM6R0rakDVP_tjmAQ4ByGlQjPZk0z9dkmna4ku9xBxx6hDEqYFM3319JqaS5-u91sw6A1QQq8AHNMtSm2IQBycuHIXTXPhhD2Asg5oh58hSezdSX=w204-h92-k-no","Makan di tempat","·","Bawa pulang","· Buka Min pukul 06.00"
"https://www.google.com/maps/place/WARTEG+GRAND+BAHARI/data=!4m7!3m6!1s0x2e69f7004bccca63:0x48953c9167a53be9!8m2!3d-6.2024961!4d106.7795653!16s%2Fg%2F11wwvcxtb1!19sChIJY8rMSwD3aS4R6TulZ5E8lUg?authuser=0&hl=id&rclk=1","WARTEG GRAND BAHARI","4,0","(2)","Indonesia","·","","Jl. Anggrek Cakra No.28B, RT.4/RW.3","","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFoxS2mcd-P0Xlx4lkttlgQBtrejofhgdh1VVqt9XFJQz9dURGdAoFMzi8gr7-M3_LijiZ8ONQXZ8wWYIw9nOV0awzxHW_4JSh9AmtjkIEPoudHXVStwjoxDPqtXJeMB00uOuyw=w80-h142-k-no","Makan di tempat","·","Bawa pulang",""
"https://www.google.com/maps/place/Warteg+dua+putra/data=!4m7!3m6!1s0x2e69f742a0d307dd:0xf91b4d2e1717c69c!8m2!3d-6.195012!4d106.7809536!16s%2Fg%2F11sd32c3ks!19sChIJ3QfToEL3aS4RnMYXFy5NG_k?authuser=0&hl=id&rclk=1","Warteg dua putra","5,0","(1)","Brunch","·","","Jl. Angsana No.3, RT.00/RW.5","","Tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFg2b1bLMhMNtpg1ZShcVrk2XOs0JEz0bz1piFyhFfAaGR-smr12aq6XRTZ70TS4vj9BbnZfKsovfMbSV1Zsvu0b7Qs2-6p4ykhi3nru0n2pLYyq-CUgZKDpnPhdJH2ai5qzE6N=w163-h92-k-no","Makan di tempat","·","Bawa pulang","· Buka Min pukul 07.35"
