"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","W4Efsd 7"
"https://www.google.com/maps/place/ZAMZAM+DIGITAL+COPIER+%26+PRINTING/data=!4m7!3m6!1s0x2e788330861ac4dd:0x62ef6fcea242fe55!8m2!3d-7.9540097!4d112.610428!16s%2Fg%2F11vbql3ns1!19sChIJ3cQahjCDeC4RVf5Cos5v72I?authuser=0&hl=id&rclk=1","ZAMZAM DIGITAL COPIER & PRINTING","5,0","(12)","Toko Fotokopi","·","","Jl. Raya Sumbersari No.80A","·","Tutup","· Buka Min pukul 12.00","0813-3333-6067","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cocok buat mahasiswa yg ngerjain tugas malam malam.""",""
"https://www.google.com/maps/place/Mandiri+photo+copy+Jatimulyo/data=!4m7!3m6!1s0x2e7883000cb0928d:0x7c1ba880abbceb9d!8m2!3d-7.9471226!4d112.6087906!16s%2Fg%2F11vrcfnb0f!19sChIJjZKwDACDeC4Rneu8q4CoG3w?authuser=0&hl=id&rclk=1","Mandiri photo copy Jatimulyo","5,0","(1)","Toko Fotokopi","·","","3J35+5G3, Jl. Gajayana dekat SDN 3","·","Tutup","· Buka Min pukul 10.30","0853-8136-1878","","Rute","","",""
"https://www.google.com/maps/place/Foto+Copy+Kube+Mandiri/data=!4m7!3m6!1s0x2e788271a04742f7:0x434c2ed358b43f00!8m2!3d-7.948828!4d112.6113457!16s%2Fg%2F11b6cknwk5!19sChIJ90JHoHGCeC4RAD-0WNMuTEM?authuser=0&hl=id&rclk=1","Foto Copy Kube Mandiri","4,5","(2)","Toko Fotokopi","·","","Jl. Kertosentono No.103","·","Tutup","· Buka Sen pukul 07.30","0856-4658-7333","","Rute","","",""
"https://www.google.com/maps/place/Clover+Copy+%26+Print/data=!4m7!3m6!1s0x2e7882745ed210dd:0xfd24a70e77fa20a6!8m2!3d-7.9448224!4d112.6157117!16s%2Fg%2F11b6gkkmvf!19sChIJ3RDSXnSCeC4RpiD6dw6nJP0?authuser=0&hl=id&rclk=1","Clover Copy & Print","5,0","(1)","Toko Fotokopi","·","","Jl. Semanggi Bar. No.4A","·","Tutup","· Buka Sen pukul 08.00","0813-3347-7044","","Rute","","Layanan di tempat",""
"https://www.google.com/maps/place/SBR+DIGITAL+MODERN+PRINTING+Fotocopy/data=!4m7!3m6!1s0x2e7883c7a6053a4f:0xd202ceaf9acc1f2f!8m2!3d-7.9559205!4d112.6119668!16s%2Fg%2F11v19ls1f4!19sChIJTzoFpseDeC4RLx_Mmq_OAtI?authuser=0&hl=id&rclk=1","SBR DIGITAL MODERN PRINTING Fotocopy","5,0","(3)","Layanan cetak digital","·","","Jl. Raya Sumbersari No.292B","·","Tutup","· Buka Sen pukul 08.00","0856-4577-2689","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pekerjaannya cepat,, hasilnya tidak mengecewakan""",""
"https://www.google.com/maps/place/SARJANA+2/data=!4m7!3m6!1s0x2e788276cf58a511:0x97a8ecb2acfcb4e6!8m2!3d-7.9488403!4d112.6146618!16s%2Fg%2F11b6dnrck_!19sChIJEaVYz3aCeC4R5rT8rLLsqJc?authuser=0&hl=id&rclk=1","SARJANA 2","4,6","(126)","Toko Fotokopi","·","","Jl. Mayjen Hariyono Jl. MT. Haryono No.72A","·","Tutup","· Buka Min pukul 13.00","0822-3600-8197","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mas2nya murah senyum""",""
"https://www.google.com/maps/place/Azlaff+Printing+%26+FC/data=!4m7!3m6!1s0x2e788219a97d9275:0x6103279b6c7826c9!8m2!3d-7.9455535!4d112.6164745!16s%2Fg%2F11b6h_sm6b!19sChIJdZJ9qRmCeC4RySZ4bJsnA2E?authuser=0&hl=id&rclk=1","Azlaff Printing & FC","4,6","(64)","Toko Fotokopi","·","","·","Jl. Semanggi Bar. No.17, RT.02/RW.03","Tutup","· Buka Min pukul 10.00","0813-8080-7550","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kualitas sip""","·"
"https://www.google.com/maps/place/Eno+Fotocopy+%26+Print/data=!4m7!3m6!1s0x2e7882745dc498af:0x8b363e0e3d80205a!8m2!3d-7.944933!4d112.6155133!16s%2Fg%2F11gh4834sb!19sChIJr5jEXXSCeC4RWiCAPQ4-Nos?authuser=0&hl=id&rclk=1","Eno Fotocopy & Print","4,7","(3)","Toko Fotokopi","·","","Jl. Semanggi Bar. No.1B","·","Tutup","· Buka Sen pukul 08.00","0856-4630-9058","","Rute","","",""
"https://www.google.com/maps/place/Fotocopy+Dewa/data=!4m7!3m6!1s0x2e78827be585b1b3:0xcad2e20e4ccfe50e!8m2!3d-7.9567207!4d112.6133045!16s%2Fg%2F11b6dw07l5!19sChIJs7GF5XuCeC4RDuXPTA7i0so?authuser=0&hl=id&rclk=1","Fotocopy Dewa","5,0","(1)","Toko Fotokopi","·","","Jl. Veteran No.23","·","Tutup","· Buka Min pukul 06.00","0812-3322-1943","","Rute","","",""
"https://www.google.com/maps/place/Dony+Print+1/data=!4m7!3m6!1s0x2e7882710c7a1ab5:0x5a7a927ba9d1abbf!8m2!3d-7.948823!4d112.611324!16s%2Fg%2F11d_z79l1p!19sChIJtRp6DHGCeC4Rv6vRqXuSelo?authuser=0&hl=id&rclk=1","Dony Print 1","4,0","(15)","Layanan cetak digital","·","","Jl. Kertosentono No.103","·","Tutup","· Buka Min pukul 15.30","0815-5528-242","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sudah 2x ke sini.. ini foto diambil pas jam 5.20""",""
"https://www.google.com/maps/place/%22Kharisma%22+Print+Online+%26+Ofline+SKRIPSI+TESIS+DISERTASI/data=!4m7!3m6!1s0x2e7883ce6b98a9d5:0x1eb5e81d948d07b7!8m2!3d-7.9526699!4d112.6092371!16s%2Fg%2F11y3s25d4r!19sChIJ1amYa86DeC4RtweNlB3otR4?authuser=0&hl=id&rclk=1","""Kharisma"" Print Online & Ofline SKRIPSI TESIS DISERTASI","5,0","(1)","Toko Percetakan","·","","Jl. Raya Sumbersari Jl. Sumber Sari Gg. 1 No.5b lantai 1","·","Tutup","· Buka Min pukul 06.00","0882-1341-3888","","Rute","","",""
"https://www.google.com/maps/place/MJ+PRINTING,+FOTO+COPY+%26+SPESIALIS+JILID+HARD+COVER+%28MENYEDIAKAN+KEBUTUHAN+OSPEK%29/data=!4m7!3m6!1s0x2e78835f71885e75:0xf4add0ff2ca2a15b!8m2!3d-7.9459752!4d112.6171502!16s%2Fg%2F11q3tv_2n9!19sChIJdV6IcV-DeC4RW6GiLP_QrfQ?authuser=0&hl=id&rclk=1","MJ PRINTING, FOTO COPY & SPESIALIS JILID HARD COVER (MENYEDIAKAN KEBUTUHAN OSPEK)","4,7","(17)","Toko Fotokopi","·","","Jl. Semanggi Bar. No.29","·","Tutup","· Buka Sen pukul 08.00","0813-5209-3330","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanannya ramah, harga terjangkau pas banget buat mahasiswa.""",""
"https://www.google.com/maps/place/Ragil+Foto+Copy/data=!4m7!3m6!1s0x2e78827af3859a63:0xd3fc6faa9a9f49e6!8m2!3d-7.9538224!4d112.6106506!16s%2Fg%2F11b75q9j_m!19sChIJY5qF83qCeC4R5kmfmqpv_NM?authuser=0&hl=id&rclk=1","Ragil Foto Copy","4,9","(9)","Toko Fotokopi","·","","Jl. Raya Sumbersari No.53 C","·","Tutup","· Buka Min pukul 07.30","0851-0278-9089","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempat andalan nih buat anak TL ITN angkatan saya :')""",""
"https://www.google.com/maps/place/MIFAZ1/data=!4m7!3m6!1s0x2e788360ad76378d:0x955e773adfa27869!8m2!3d-7.954065!4d112.6106019!16s%2Fg%2F11v9ypcctc!19sChIJjTd2rWCDeC4RaXii3zp3XpU?authuser=0&hl=id&rclk=1","MIFAZ1","4,7","(13)","Layanan cetak digital","·","","Sebelah Gang Tikus Pertanian UB, Jl. Raya Sumbersari No.53a","·","Tutup","· Buka Min pukul 05.30","0813-3332-4645","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mifaz rekomendasi banget print nya cepat harga nya murah😍😍""",""
"https://www.google.com/maps/place/LOCALOGO+2/data=!4m7!3m6!1s0x2e788343ee6433ab:0xec672d5d468cc0c7!8m2!3d-7.9481157!4d112.6092489!16s%2Fg%2F11l2cwnsl4!19sChIJqzNk7kODeC4Rx8CMRl0tZ-w?authuser=0&hl=id&rclk=1","LOCALOGO 2","5,0","(24)","Toko Fotokopi","·","","Jl. Kertosentono No.23","·","Tutup","· Buka Min pukul 06.30","0896-5283-8788","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Recomended ,harga terjangkau ,pelayanan cpt 👍🏼""",""
"https://www.google.com/maps/place/LOCALOGO+1/data=!4m7!3m6!1s0x2e78833c85513ecd:0xa9bba608c18088b2!8m2!3d-7.9464679!4d112.6107639!16s%2Fg%2F11l29dd8lj!19sChIJzT5RhTyDeC4RsoiAwQimu6k?authuser=0&hl=id&rclk=1","LOCALOGO 1","4,9","(63)","Toko Fotokopi","·","","·","Jl. Kerto Raharjo No.42a","Tutup","· Buka Min pukul 06.30","0851-7171-7448","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""langganan banget kalau ngeprint disini soalnya murah dan cepat""","·"
