"hfpxzc href","qBF1Pd","W4Efsd","Cw1rxd","R8c4Qb"
"https://www.google.com/maps/place/Papa+Bear+8+Diner/data=!4m7!3m6!1s0x2dd629d5d588bc45:0x2bb8e0a6378bea05!8m2!3d-7.95695!4d112.62257!16s%2Fg%2F11gh1n47zq!19sChIJRbyI1dUp1i0RBeqLN6bguCs?authuser=0&hl=id&rclk=1","Papa Bear 8 Diner","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Taman+Makan+Pahlawan+Untung+Suropati/data=!4m7!3m6!1s0x2dd629d59e5c23a7:0x77e16e4b878af3b!8m2!3d-7.959386!4d112.621092!16s%2Fg%2F11gh1n3ccs!19sChIJpyNcntUp1i0RO694uOQWfgc?authuser=0&hl=id&rclk=1","Taman Makan Pahlawan Untung Suropati","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Malang+Brawijaya+Bus+Station/data=!4m7!3m6!1s0x2dd628374b75c887:0x5103b93fc01c9b9f!8m2!3d-7.9702703!4d112.6379206!16s%2Fg%2F11z9tnq5dt!19sChIJh8h1Szco1i0Rn5scwD-5A1E?authuser=0&hl=id&rclk=1","Malang Brawijaya Bus Station","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Perum+Jasa+Tirta+1/data=!4m7!3m6!1s0x2e788281954af351:0x736b48b4347a1245!8m2!3d-7.966118!4d112.618365!16s%2Fg%2F11gh1ph8qd!19sChIJUfNKlYGCeC4RRRJ6NLRIa3M?authuser=0&hl=id&rclk=1","Perum Jasa Tirta 1","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Bengkel+Mobil+Pak+Tomo/data=!4m7!3m6!1s0x2e78827de425c10f:0x7afdbf3717b58d19!8m2!3d-7.96159!4d112.61344!16s%2Fg%2F11f5g13dsb!19sChIJD8El5H2CeC4RGY21Fze__Xo?authuser=0&hl=id&rclk=1","Bengkel Mobil Pak Tomo","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Sahabat+Elektrik/data=!4m7!3m6!1s0x2dd629d5d5c3b057:0x2ae48cb4e42589ee!8m2!3d-7.95701!4d112.62251!16s%2Fg%2F11gh1n364x!19sChIJV7DD1dUp1i0R7okl5LSM5Co?authuser=0&hl=id&rclk=1","Sahabat Elektrik","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Dinoyo+2/data=!4m7!3m6!1s0x2e7882121f255bff:0x9a47216a2a33ce77!8m2!3d-7.93772!4d112.6066!16s%2Fg%2F11yts9r9d4!19sChIJ_1slHxKCeC4Rd84zKmohR5o?authuser=0&hl=id&rclk=1","Dinoyo 2","Perhentian bus","","Rute"
"https://www.google.com/maps/place/SMA+Muhammadiyah+1+Malang/data=!4m7!3m6!1s0x2dd6282c45f0e149:0xaed57f1a0e7951e3!8m2!3d-7.965124!4d112.628029!16s%2Fg%2F11f5f_s36h!19sChIJSeHwRSwo1i0R41F5Dhp_1a4?authuser=0&hl=id&rclk=1","SMA Muhammadiyah 1 Malang","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Dinoyo+1/data=!4m7!3m6!1s0x2e78821199d32f19:0x319b7d76735e2a2c!8m2!3d-7.93659!4d112.60571!16s%2Fg%2F11gh1pf3t_!19sChIJGS_TmRGCeC4RLCpec3Z9mzE?authuser=0&hl=id&rclk=1","Dinoyo 1","Perhentian bus","","Rute"
"https://www.google.com/maps/place/Universitas+Muhammadiyah+Malang+Pascasarjana/data=!4m7!3m6!1s0x2dd6282b4a117253:0xdf9347ae45e872b3!8m2!3d-7.962143!4d112.624395!16s%2Fg%2F11f5f_y4sh!19sChIJU3IRSiso1i0Rs3LoRa5Hk98?authuser=0&hl=id&rclk=1","Universitas Muhammadiyah Malang Pascasarjana","Perhentian bus","","Rute"
